Código Árvore,Espécie,Espécie - Caesalpinia ferrea var. leiostachya - One-Hot,Espécie - Caesalpinia peltophoroides - One-Hot,Espécie - Holocalyx balansae - One-Hot,Espécie - Jacaranda mimosaefolia - One-Hot,Espécie - Ligustrum lucidum - One-Hot,Espécie - Tibouchina granulosa - One-Hot,Espécie - Tipuana tipu - One-Hot,Diâmetro Altura do Peito (m),Altura da Primeira Ramificação (m),Altura da Árvore (m),Altura da Copa (m),Largura da Copa (m),Excentricidade (m),Ângulo (°),Densidade,Formato da Copa,Presença de Interferência - Tronco,Presença de Interferência - Raiz,Presença de Fendas - Tronco,Presença Broca,Fungo - Tipo de Ataque,Fungo - Corpo de Frutificação,Cupim-Subterrâneo - Tipo de Ataque,Cupim-Madeira-Seca - Tipo de Ataque,Cupim-de-Solo - Tipo de Ataque,Levantamento do Pavimento,Área Permeável Insuficiente,Injúria Mecânica - Raiz,Injúria Mecânica - Colo,Injúria Mecânica - Tronco,Injúria Mecânica - Copa,Raiz Exposta - Raiz,Raiz Cortada - Raiz,Raiz Dobrada/Enovelada - Raiz,Colo Soterrado - Colo,Casca Inclusa - Tronco,Protuberância - Tronco,Epífitas - Copa,Presença de Poda,Erva de Passarinho - Copa,Fios de Ovos - Copa,Figueira Mata Pau - Copa,Dano Aparente - Colo,Presença de Formiga - Colo,Copa Desequilibrada,Porcentagem da Área (%) com Deterioração - Colo,Raio/PS média - Colo,Nível de Deterioração - Colo - 2 Classes,Nível de Deterioração - Colo - 3 Classes,Risco de Queda
170038-27,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.611,3.378,12.614,9.236,9.149,3.019506759352552,13.462,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.10194027325458,1.1172851580857,0.0,0.0,0.0
170038-28,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.605,3.408,15.91,12.502,9.5,0.8488445217013085,3.054,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-29,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.63,2.867,14.072,11.205000000000002,10.805,1.3634078839851471,5.534,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.09735494237054,1.2135819794170202,0.0,0.0,0.0
170038-30,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.455,3.835,13.452,9.617,8.582,3.913005117188232,16.219,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8588264718186271,1.10213834683492,0.0,0.0,0.0
170038-31,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.57,3.281,14.991,11.71,9.802,3.206950889655804,12.075,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-32,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.649,3.363,14.304,10.941,10.569,1.0825531946340174,4.328,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-33,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.181,5.638999999999999,8.804,3.165000000000001,5.307,2.527666244961177,16.019000000000002,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-34,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.535,2.655,11.848,9.193,8.929,3.523937815491752,16.564,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-35,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.608,2.925,14.559,11.634,7.324,1.3690525805637987,5.372000000000001,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-36,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.703,3.087,16.805999999999994,13.718999999999994,10.225,2.5245694526072104,8.543,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-37,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.462,2.886,10.812,7.926000000000001,6.424,1.0881393003818465,5.747000000000001,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-38,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.547,2.319,12.119000000000002,9.8,8.221,0.5545596892895951,2.62,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-39,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.675,2.69,13.661,10.971,9.726,0.975158615723684,4.083,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-40,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.423,4.468999999999999,11.651,7.182,7.718,8.767549189729188,36.962,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-41,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3339999999999999,3.946,10.765,6.819000000000001,5.9179999999999975,1.4692624433133363,7.772,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-42,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,4.069,12.425,8.356000000000002,9.185,3.3799897137391897,15.218,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-43,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.532,2.7230000000000003,11.049,8.326,9.28,0.6728823941212491,3.485,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-44,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.503,3.213,13.196,9.983,6.881,1.6562800617559923,7.154,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.10760045729486,1.11762137815642,0.0,0.0,0.0
170038-45,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.662,3.003,11.047,8.044,7.588999999999999,0.171804460898656,0.8909999999999999,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.96251249292226,1.16291199636233,0.0,0.0,0.0
170038-46,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.595,2.667,11.813,9.146,7.8679999999999986,3.457048776208804,16.312,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.4654359220955,3.72024679477306,1.0,2.0,2.0
170038-47,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.608,2.468,15.14,12.672,7.6960000000000015,2.2259614174785702,8.363999999999999,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.107912317726739,1.03396578675347,0.0,0.0,0.0
170038-48,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5670000000000001,3.236,15.45,12.214,7.515,1.950145177945107,7.194,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6761996505850589,1.08959922578297,0.0,0.0,2.0
170038-49,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.735,2.5780000000000003,15.634,13.056,10.576,0.1828277329542758,0.67,0.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
170038-50,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.63,3.147,13.16,10.013,10.558,3.582893123394149,15.23,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.8277763780409,1.5241935483871,1.0,1.0,2.0
170038-51,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.726,3.687,13.398,9.711,7.879,2.3901663402947526,10.115,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.2467062463693,1.40286058086155,0.0,0.0,0.0
170038-52,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.618,2.382,13.594,11.212000000000002,10.858,4.7848030754258,19.391,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.153439014414,3.11879383432603,1.0,2.0,2.0
170038-53,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.621,3.082,15.348,12.265999999999998,13.32,2.4174311569827367,8.951,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.854915715066369,1.42363366527154,0.0,0.0,2.0
170038-54,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.309,5.4570000000000025,8.149,2.6919999999999966,5.245,4.490328119682003,28.856,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-55,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.522,2.6860000000000004,11.864,9.178,8.249,2.376906436529104,11.329,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-56,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3339999999999999,3.085,9.082,5.997000000000001,4.739,3.1817168712162585,19.307,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-57,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.366,2.505,11.384,8.879000000000001,7.176,3.998669038459118,19.354,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.34506018413343,1.18082699713342,0.0,0.0,2.0
170038-58,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.207,4.135,6.9910000000000005,2.8560000000000008,4.7360000000000015,2.1326943320993603,16.965,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-59,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.267,3.443,8.69,5.247,6.327000000000001,1.9929894978407536,12.917,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-60,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42,2.527,9.844,7.317,7.346,1.0800059586691166,6.261,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,30.008599853000803,2.21141605138213,1.0,1.0,2.0
170038-61,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.353,2.737,8.894,6.157,6.235,0.1389417784542898,0.895,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.889543832591624,1.10413741770002,0.0,0.0,0.0
170038-62,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.312,2.6710000000000003,10.72,8.049,7.056,0.541738725065223,2.893,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9431356527578494,1.24777475384046,0.0,0.0,0.0
170038-63,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.162,3.284,7.541,4.257000000000001,4.2780000000000005,1.6425495081907031,12.288,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-64,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.423,3.489,9.952,6.463,5.975,1.6775380921238237,9.568,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.23933547987988,1.17597819062345,0.0,0.0,0.0
170038-65,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.455,2.826,11.074000000000002,8.248000000000001,7.034,1.7791202046332166,9.127,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.597443437825979,1.08376937438767,0.0,0.0,0.0
170038-66,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.382,2.869,9.017,6.1480000000000015,6.814,2.751611785487696,16.97,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.09218801872512,1.39756097560976,0.0,0.0,2.0
170038-67,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.248,3.969,8.891,4.922000000000001,5.725,1.530469257373511,9.767,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170038-68,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.204,5.027,7.153,2.1259999999999994,4.4910000000000005,2.7380473167683714,20.946,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-69,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4270000000000001,2.234,7.132999999999999,4.898999999999999,7.843,1.480029849766114,11.722,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-70,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.341,2.127,6.386,4.259,8.465,1.829467457409257,15.986,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.209561908757298,1.04797408682048,0.0,0.0,0.0
170038-71,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.376,2.382,8.604,6.222,9.397,1.5236213393961762,10.042,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170038-72,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.541,2.422,9.684,7.262,10.135,0.1495925479996916,0.885,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.9140686310562,1.56094271109359,1.0,1.0,2.0
187810-12,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.159,3.155,7.044,3.889,5.522,0.905606321247315,7.326,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
000574-19,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.503,3.184,13.653,10.469,9.726,0.5650691481664705,2.37,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,13.1335574643473,1.56838758888895,1.0,1.0,0.0
000574-19,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5401700119110229,3.1897323456658286,12.288010602975096,9.098278257309268,9.061623691121367,2.37457957452018,10.93722999118919,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
000574-19,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.455,2.912,6.754,3.842,3.002,0.9186988120609296,7.746,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
000574-20,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.563,3.275,10.449000000000002,7.174000000000001,8.161,5.294432026249623,26.871,0.63,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0046509897495,3.41459696088067,1.0,2.0,0.0
000574-23,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6559999999999999,3.1660000000000004,9.305,6.138999999999999,5.82,1.9334097226892213,11.738,0.63,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
000574-25,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.532,3.502,10.65,7.148000000000001,7.1229999999999976,2.5091154431291294,13.257,0.63,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
000574-27,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5539999999999999,2.692,12.226,9.534,10.5,4.167309074975323,18.822,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
000574-30,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.586,3.744,11.130999999999998,7.386999999999999,10.351,1.5506927601947236,7.931,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.2905914608331,1.64212202965843,1.0,1.0,0.0
000574-33,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6970000000000001,3.579,14.934,11.355,13.335,1.1205340388246017,4.291,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
000574-34,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.509,4.17,11.693,7.523,8.61,1.0217710932538693,4.994,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
000574-35,Tipuana tipu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.665,3.373,14.277,10.904,12.352,1.5885553147203086,6.349,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.5921373986383,1.58397062410505,1.0,1.0,0.0
