Código Árvore,Espécie,Espécie - Caesalpinia ferrea var. leiostachya - One-Hot,Espécie - Caesalpinia peltophoroides - One-Hot,Espécie - Holocalyx balansae - One-Hot,Espécie - Jacaranda mimosaefolia - One-Hot,Espécie - Ligustrum lucidum - One-Hot,Espécie - Tibouchina granulosa - One-Hot,Espécie - Tipuana tipu - One-Hot,Diâmetro Altura do Peito (m),Altura da Primeira Ramificação (m),Altura da Árvore (m),Altura da Copa (m),Largura da Copa (m),Excentricidade (m),Ângulo (°),Densidade,Formato da Copa,Presença de Interferência - Tronco,Presença de Interferência - Raiz,Presença de Fendas - Tronco,Presença Broca,Fungo - Tipo de Ataque,Fungo - Corpo de Frutificação,Cupim-Subterrâneo - Tipo de Ataque,Cupim-Madeira-Seca - Tipo de Ataque,Cupim-de-Solo - Tipo de Ataque,Levantamento do Pavimento,Área Permeável Insuficiente,Injúria Mecânica - Raiz,Injúria Mecânica - Colo,Injúria Mecânica - Tronco,Injúria Mecânica - Copa,Raiz Exposta - Raiz,Raiz Cortada - Raiz,Raiz Dobrada/Enovelada - Raiz,Colo Soterrado - Colo,Casca Inclusa - Tronco,Protuberância - Tronco,Epífitas - Copa,Presença de Poda,Erva de Passarinho - Copa,Fios de Ovos - Copa,Figueira Mata Pau - Copa,Dano Aparente - Colo,Presença de Formiga - Colo,Copa Desequilibrada,Porcentagem da Área (%) com Deterioração - Colo,Raio/PS média - Colo,Nível de Deterioração - Colo - 2 Classes,Nível de Deterioração - Colo - 3 Classes,Risco de Queda
015814-98,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,3.3480000000000003,7.879,4.530999999999999,3.559,0.8804297371640168,6.376,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-131,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,5.332999999999998,14.451,9.118,6.096,0.7452056558464313,2.952,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-159,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,2.717,12.964,10.247,9.077,0.983415149259264,4.338,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.548,1.829,1.0,1.0,1.0
015814-168,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,5.143,7.329,2.186,0.883,0.3298598803351181,2.577,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-137,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799,1.022,14.785,13.763,12.96,1.509366495401003,5.829,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-171,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.515,4.824,1.3089999999999995,1.253,0.2674231691639567,3.173,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-145,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,2.4290000000000003,14.684,12.255,10.612,3.1726471258911184,12.192,1.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.467,2.232,1.0,1.0,2.0
015814-135,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,5.702999999999999,14.46,8.757000000000001,6.365,0.7456697656590823,2.952,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-83,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341,5.961,11.616,5.654999999999999,9.086,1.089853865222399,5.36,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-88,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3339999999999999,3.963,12.265999999999998,8.302999999999997,9.826,2.2583143865234514,10.432,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
015814-103,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,2.835,12.017,9.182000000000002,10.456,1.3283875179528415,6.308,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
015814-4,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,4.834,8.721,3.887000000000001,0.758,0.5693116177445163,3.735,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-126,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,3.503,9.539,6.036,6.811,0.4099765579446839,2.461,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-173,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493,1.18,11.518,10.338,11.044,0.8967778325771286,4.452,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-100,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,2.839,9.515,6.676,6.445,1.7325998335624229,10.32,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-115,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2769999999999999,2.702,10.892,8.190000000000001,6.345,1.7165500819193034,8.956,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-86,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,4.663,13.289,8.626000000000001,9.593,1.8130421488182515,7.769,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-172,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,2.399,4.041,1.6420000000000003,1.013,0.0784378243546883,1.112,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-163,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,2.218,12.177,9.959,12.267,3.0970891675607426,14.27,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
015814-89,Caesalpinia ferrea var. leiostachya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,3.706,12.477,8.771,8.044,2.169283307828486,9.863,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
